Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2019,Institutional Characteristics,Directory information,HD2019,HD2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Institutional Characteristics,"Educational offerings, organization, services and athletic associations (revised July 2021)",IC2019,IC2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Institutional Characteristics,Student charges for academic year programs,IC2019_AY,IC2019_AY_STATA,"SPSS, SAS, STATA",Dictionary
2019,Institutional Characteristics,Student charges by program (vocational programs),IC2019_PY,IC2019_PY_STATA,"SPSS, SAS, STATA",Dictionary
2019,Institutional Characteristics,Response status for all survey components(revised July 2021),FLAGS2019,FLAGS2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,12-Month Enrollment,12-month unduplicated headcount: 2018-19(revised July 2021),EFFY2019,EFFY2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,12-Month Enrollment,12-month instructional activity: 2018-19(revised July 2021),EFIA2019,EFIA2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,12-Month Enrollment,Response status for all survey components(revised July 2021),FLAGS2019,FLAGS2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Admissions and Test Scores,"Admission considerations, applications, admissions, enrollees and test scores, fall 2019(revised October 2021)",ADM2019,ADM2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Admissions and Test Scores,Response status for all survey components(revised October 2021),FLAGS2019,FLAGS2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2019(revised November 2021)",EF2019A,EF2019A_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2019(revised November 2021)",EF2019B,EF2019B_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Enrollment,Residence and migration of first-time freshman: Fall 2019(revised November 2021),EF2019C,EF2019C_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2019(revised November 2021)",EF2019D,EF2019D_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Enrollment,Distance education status and level of student: Fall 2019(revised November 2021),EF2019A_DIST,EF2019A_DIST_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Enrollment,Response status for all survey components(revised November 2021),FLAGS2019,FLAGS2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2018 to June 30, 2019 (revised July 2021)",C2019_A,C2019_A_STATA,"SPSS, SAS, STATA",Dictionary
2019,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2018 to June 30, 2019 (revised July 2021)",C2019_B,C2019_B_STATA,"SPSS, SAS, STATA",Dictionary
2019,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2018 to June 30, 2019(revised July 2021)",C2019_C,C2019_C_STATA,"SPSS, SAS, STATA",Dictionary
2019,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2018 to June 30, 2019 (revised July 2021)",C2019DEP,C2019DEP_STATA,"SPSS, SAS, STATA",Dictionary
2019,Completions,Response status for all survey components(revised July 2021),FLAGS2019,FLAGS2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2019-20(revised November 2021)",SAL2019_IS,SAL2019_IS_STATA,"SPSS, SAS, STATA",Dictionary
2019,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical noninstructional staff, by occupation: Academic year 2019-20(revised November 2021)",SAL2019_NIS,SAL2019_NIS_STATA,"SPSS, SAS, STATA",Dictionary
2019,Instructional Staff/Salaries,Response status for all survey components(revised November 2021),FLAGS2019,FLAGS2019_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2019(revised November 2021)",S2019_OC,S2019_OC_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Staff,"Full-time instructional staff, by faculty and tenure status, and academic rank  (Degree-granting institutions): Fall 2019(revised November 2021)",S2019_SIS,S2019_SIS_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Staff,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2019(revised November 2021)",S2019_IS,S2019_IS_STATA,"SPSS, SAS, STATA",Dictionary
2019,Fall Staff,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2019(revised November 2021)",S2019_NH,S2019_NH_STATA,"SPSS, SAS, STATA",Dictionary
