Year,Survey,Title,Data File,Stata Data File,Programs,Dictionary
2016,Institutional Characteristics,Directory information,HD2016,HD2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Institutional Characteristics,"Educational offerings, organization, services and athletic associations (revised August 2018)",IC2016,IC2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Institutional Characteristics,Student charges for academic year programs,IC2016_AY,IC2016_AY_STATA,"SPSS, SAS, STATA",Dictionary
2016,Institutional Characteristics,Student charges by program (vocational programs),IC2016_PY,IC2016_PY_STATA,"SPSS, SAS, STATA",Dictionary
2016,Institutional Characteristics,Response status for all surveys components,FLAGS2016,FLAGS2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,12-Month Enrollment,12-month unduplicated headcount: 2015-16(revised August 2018),EFFY2016,EFFY2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,12-Month Enrollment,12-month instructional activity: 2015-16(revised August 2018),EFIA2016,EFIA2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,12-Month Enrollment,Response status for all survey components(revised August 2018),FLAGS2016,FLAGS2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Admissions and Test Scores,"Admission considerations, applications, admissions, enrollees and test scores, fall 2016(revised December 2018)",ADM2016,ADM2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Admissions and Test Scores,Response status for all survey components(revised December 2018),FLAGS2016,FLAGS2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2016(revised December 2018)",EF2016A,EF2016A_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2016(revised December 2018)",EF2016CP,EF2016CP_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2016(revised December 2018)",EF2016B,EF2016B_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,Residence and migration of first-time freshman: Fall 2016(revised December 2018),EF2016C,EF2016C_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2016(revised December 2018)",EF2016D,EF2016D_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,Distance education status and level of student: Fall 2016(revised December 2018),EF2016A_DIST,EF2016A_DIST_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Enrollment,Response status for all survey components(revised December 2018),FLAGS2016,FLAGS2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2015 to June 30, 2016 (revised August 2018)",C2016_A,C2016_A_STATA,"SPSS, SAS, STATA",Dictionary
2016,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2015 to June 30, 2016(revised August 2018)",C2016_B,C2016_B_STATA,"SPSS, SAS, STATA",Dictionary
2016,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2015 to June 30, 2016(revised August 2018)",C2016_C,C2016_C_STATA,"SPSS, SAS, STATA",Dictionary
2016,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2015 to June 30, 2016(revised August 2018)",C2016DEP,C2016DEP_STATA,"SPSS, SAS, STATA",Dictionary
2016,Completions,Response status for all survey components(revised August 2018),FLAGS2016,FLAGS2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2016-17 (revised December 2018)",SAL2016_IS,SAL2016_IS_STATA,"SPSS, SAS, STATA",Dictionary
2016,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical noninstructional staff, by  occupation: Academic year 2016-17(revised December 2018)",SAL2016_NIS,SAL2016_NIS_STATA,"SPSS, SAS, STATA",Dictionary
2016,Instructional Staff/Salaries,Response status for all survey components(revised December 2018),FLAGS2016,FLAGS2016_STATA,"SPSS, SAS, STATA",Dictionary
2016,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2016(revised December 2018)",S2016_OC,S2016_OC_STATA,"SPSS, SAS, STATA",Dictionary
